1;2;3;4;small
1;2;4;3;small
1;3;2;4;small
1;3;4;2;small
1;4;2;3;small
1;4;3;2;small
2;1;3;4;small
2;1;4;3;small
2;3;1;4;small
2;3;4;1;small
2;4;1;3;small
2;4;3;1;small
3;1;2;4;small
3;1;4;2;small
3;2;1;4;small
3;2;4;1;small
3;4;1;2;small
3;4;2;1;small
4;1;2;3;small
4;1;3;2;small
4;2;1;3;small
4;2;3;1;small
4;3;1;2;small
4;3;2;1;small
1;2;3;4;large
1;2;4;3;large
1;3;2;4;large
1;3;4;2;large
1;4;2;3;large
1;4;3;2;large
2;1;3;4;large
2;1;4;3;large
2;3;1;4;large
2;3;4;1;large
2;4;1;3;large
2;4;3;1;large
3;1;2;4;large
3;1;4;2;large
3;2;1;4;large
3;2;4;1;large
3;4;1;2;large
3;4;2;1;large
4;1;2;3;large
4;1;3;2;large
4;2;1;3;large
4;2;3;1;large
4;3;1;2;large
4;3;2;1;large
